nome,cognome,email,telefono,citta,provincia,area,auto,km_max,trasferte,tournee,stato,strumenti,competenze,repertorio,tag,note
Anna,Rossini,anna.rossini@example.invalid,369 000 8206,Verona,VR,Veneto,si,100,si,no,reserve,violino:5:principale;viola:2:doubling,lettura_partitura:2;con_direttore:3;click:2;esp_orchestrale:2;esp_live:1;esp_studio:3,composer:Ennio Morricone:history;program:Morricone in concerto:history;genre:Pop sinfonico:declared;program:Rock sinfonico:declared,,
Davide,Bellante,davide.bellante@example.invalid,342 000 3195,Castelfranco Veneto,TV,Veneto,no,150,si,si,active,violino:5:principale;viola:3:doubling,lettura_partitura:3;con_direttore:2;click:3;in_ear:2;esp_orchestrale:2;esp_live:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;composer:Hans Zimmer:verified;genre:Colonne sonore:verified,nuovo,
Camilla,Ferraro,camilla.ferraro@example.invalid,367 000 6696,Bassano del Grappa,VI,Veneto,no,300,si,no,active,violino:4:principale;viola:2:doubling,lettura_prima_vista:3;lettura_partitura:1;con_direttore:3;click:1;improvvisazione:3;esp_orchestrale:3;esp_live:3;esp_studio:2;esp_teatro_musical:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Rock sinfonico:declared,,
Luca,Conti,luca.conti@example.invalid,375 000 9040,Schio,VI,Veneto,si,80,si,no,active,violino:4:principale,lettura_prima_vista:2;lettura_partitura:2;con_direttore:3;in_ear:3;esp_live:3;esp_studio:3,program:Pooh in sinfonia:history;genre:Pop sinfonico:declared;composer:John Williams:verified,,
Anna,Marangon,anna.marangon@example.invalid,369 000 9664,Conegliano,TV,Veneto,si,50,si,no,active,violino:5:principale;viola:4:doubling,lettura_partitura:2;con_direttore:2;in_ear:2;esp_orchestrale:1;esp_live:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Pooh in sinfonia:history,,
Marta,Zanella,marta.zanella@example.invalid,369 000 5339,Vicenza,VI,Veneto,si,80,si,no,reserve,violino:3:principale;viola:2:doubling,lettura_prima_vista:2;con_direttore:2;improvvisazione:3;esp_orchestrale:3;esp_live:3;esp_studio:2;esp_teatro_musical:3,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Pooh in sinfonia:history,in-ear ok;disponibile weekend,
Gabriele,De Luca,gabriele.deluca@example.invalid,390 000 4890,Conegliano,TV,Veneto,si,150,si,no,active,violino:5:principale;viola:2:doubling,con_direttore:2;click:2;in_ear:3;improvvisazione:2;esp_orchestrale:1;esp_pop:3;esp_live:2;esp_teatro_musical:1,program:Pooh in sinfonia:history;composer:Nino Rota:declared;composer:Hans Zimmer:declared,lettura veloce;tournée ok,
Nicola,Fabbri,nicola.fabbri@example.invalid,373 000 5005,Bassano del Grappa,VI,Veneto,si,50,si,si,active,violino:5:principale;viola:2:doubling,lettura_prima_vista:2;lettura_partitura:2;con_direttore:2;sequenze:2;esp_live:3,composer:Ennio Morricone:history;program:Morricone in concerto:history;composer:John Williams:declared,in-ear ok,
Lorenzo,Moretti,lorenzo.moretti@example.invalid,344 000 1371,Verona,VR,Veneto,si,300,no,no,active,viola:5:principale,lettura_prima_vista:3;con_direttore:1;click:3;sequenze:1;in_ear:1;improvvisazione:3;esp_orchestrale:3;esp_live:1;esp_teatro_musical:3,program:Pooh in sinfonia:history;program:Morricone in concerto:verified,lettura veloce;affidabile,
Martina,Pavan,martina.pavan@example.invalid,321 000 4006,Conegliano,TV,Veneto,si,80,si,no,active,viola:4:principale,lettura_prima_vista:3;lettura_partitura:3;con_direttore:2;click:2;sequenze:3;esp_orchestrale:3;esp_pop:2;esp_live:3;esp_studio:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;genre:Musical:declared;composer:Hans Zimmer:declared;genre:Colonne sonore:verified,affidabile;nuovo;tournée ok,
Camilla,Galliera,camilla.galliera@example.invalid,355 000 6980,Venezia,VE,Veneto,no,150,si,si,active,viola:4:principale,lettura_prima_vista:3;lettura_partitura:3;con_direttore:3;in_ear:2;esp_orchestrale:2;esp_pop:3;esp_live:2;esp_studio:1;esp_teatro_musical:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Pooh in sinfonia:history;program:Le colonne sonore del cinema italiano:verified;genre:Colonne sonore:declared,in-ear ok;disponibile weekend,
Giovanni,Serafin,giovanni.serafin@example.invalid,341 000 6166,Bassano del Grappa,VI,Veneto,si,50,si,no,active,viola:4:principale,lettura_prima_vista:2;lettura_partitura:2;con_direttore:3;click:2;sequenze:2;in_ear:3;esp_live:1;esp_studio:2,genre:Pop sinfonico:verified;composer:John Williams:verified;composer:Ennio Morricone:declared,tournée ok;affidabile,
Simone,Bordin,simone.bordin@example.invalid,341 000 6651,Padova,PD,Veneto,si,80,si,si,active,violoncello:4:principale,lettura_partitura:2;con_direttore:2;sequenze:2;improvvisazione:2;esp_orchestrale:3;esp_live:2;esp_teatro_musical:2,composer:Ennio Morricone:history;program:Morricone in concerto:history,,
Matteo,Rigoni,matteo.rigoni@example.invalid,396 000 5238,Padova,PD,Veneto,no,80,si,si,active,violoncello:3:principale,lettura_prima_vista:3;lettura_partitura:3;con_direttore:2;sequenze:3;improvvisazione:3;esp_orchestrale:3;esp_pop:2;esp_live:3;esp_teatro_musical:3,,,
Giorgia,Tessari,giorgia.tessari@example.invalid,395 000 4194,Padova,PD,Veneto,si,150,no,si,active,violoncello:4:principale,lettura_prima_vista:1;con_direttore:3;click:3;sequenze:3;in_ear:3;esp_orchestrale:3;esp_live:3,program:Pooh in sinfonia:declared;genre:Pop sinfonico:declared;program:Rock sinfonico:declared,tournée ok,
Lucia,Carraro,lucia.carraro@example.invalid,333 000 3403,Schio,VI,Veneto,si,150,si,no,active,violoncello:5:principale,lettura_prima_vista:3;con_direttore:1;click:3;in_ear:1;esp_orchestrale:3;esp_live:2;esp_teatro_musical:3,composer:Ennio Morricone:history;program:Morricone in concerto:history;composer:Hans Zimmer:verified;program:Le colonne sonore del cinema italiano:verified,,
Alessandro,Vianello,alessandro.vianello@example.invalid,359 000 2811,Vicenza,VI,Veneto,si,200,si,no,active,contrabbasso:3:principale,lettura_prima_vista:1;con_direttore:3;click:3;improvvisazione:2;esp_orchestrale:3;esp_pop:2;esp_live:2;esp_studio:2,composer:Hans Zimmer:declared;composer:Ennio Morricone:declared;program:Pooh in sinfonia:declared,,
